종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2495","-20","-0.80","2520","2525","2465","263817","656603665","127456181790","51084642"
"095570","AJ네트웍스","KOSPI",,"4475","-60","-1.32","4530","4535","4465","18564","83302655","202506096525","45252759"
"006840","AK홀딩스","KOSPI",,"14150","-10","-0.07","14160","14240","14040","1576","22289260","187452988150","13247561"
"054620","APS","KOSDAQ","중견기업부","6810","-30","-0.44","6900","6900","6810","10864","74321730","135479645010","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","23600","-700","-2.88","24250","24450","23400","164780","3912969850","360641535600","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","14640","500","3.54","14410","14830","14350","258616","3793659220","220804930560","15082304"
"109960","AP헬스케어","KOSDAQ","중견기업부","723","9","1.26","721","728","708","81945","59038596","82532741187","114153169"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3575","-5","-0.14","3580","3585","3555","10781","38445670","342187527825","95716791"
"282330","BGF리테일","KOSPI",,"106000","1100","1.05","105100","106600","104700","13864","1467236000","1832094036000","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","4095","15","0.37","4080","4160","4080","6379","26201490","257030451405","62766899"
"138930","BNK금융지주","KOSPI",,"8590","10","0.12","8600","8620","8490","191652","1633812640","2766739682420","322088438"
"001460","BYC","KOSPI",,"35050","50","0.14","35400","35400","35050","89","3134050","218927557500","6246150"
"001465","BYC우","KOSPI",,"15110","80","0.53","15190","15190","15110","58","880520","32544673500","2153850"
"013720","CBI","KOSDAQ","중견기업부","1244","-7","-0.56","1239","1274","1238","94655","117659974","55517401184","44628136"
"083790","CG인바이츠","KOSDAQ","벤처기업부","2600","-35","-1.33","2630","2660","2580","37926","98519625","199924873200","76894182"
"001040","CJ","KOSPI",,"116300","-400","-0.34","116700","118500","115500","28082","3278082000","3393284867400","29176998"
"079160","CJ CGV","KOSPI",,"5810","-10","-0.17","5840","5840","5760","177065","1027047770","962016610310","165579451"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","77200","-1200","-1.53","78400","78700","76600","21389","1660503200","1692930688800","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","13610","610","4.69","12910","13670","12910","16564","223083220","124021152220","9112502"
"00104K","CJ4우(전환)","KOSPI",,"85700","-1300","-1.49","86900","86900","85700","2369","203986700","362212078400","4226512"
"000120","CJ대한통운","KOSPI",,"90500","-1100","-1.20","91800","92500","89700","31757","2873927900","2064517132000","22812344"
"011150","CJ씨푸드","KOSPI",,"4370","-40","-0.91","4410","4435","4325","265354","1157841290","157017478010","35930773"
"011155","CJ씨푸드1우","KOSPI",,"21650","-150","-0.69","22050","22050","21650","17","371850","4330000000","200000"
"001045","CJ우","KOSPI",,"58800","100","0.17","59100","59100","58500","426","25020000","132901112400","2260223"
"097950","CJ제일제당","KOSPI",,"377500","5000","1.34","372500","379000","372500","10075","3795703500","5682955215000","15054186"
"097955","CJ제일제당 우","KOSPI",,"151000","900","0.60","150300","151600","150300","630","95331800","200442383000","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","20350","150","0.74","20200","20400","20200","2714","55010050","241586775100","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","2305","25","1.10","2280","2315","2260","430825","989972370","320146622420","138892244"
"023460","CNH","KOSDAQ","중견기업부","2360","80","3.51","2295","2380","2295","212445","500195155","87792000000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","900","1","0.11","897","900","886","5228","4658429","66700067400","74111186"
"000480","CR홀딩스","KOSPI",,"6020","30","0.50","6040","6040","5990","2802","16823560","282280749800","46890490"
"065770","CS","KOSDAQ","벤처기업부","1163","-6","-0.51","1158","1166","1153","14637","16992735","22575144190","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","1143","3","0.26","1150","1150","1126","2571","2920085","70005527883","61247181"
"000590","CS홀딩스","KOSPI",,"69700","-200","-0.29","69700","69700","69600","141","9822700","80467395400","1154482"
"012030","DB","KOSPI",,"1287","3","0.23","1285","1318","1270","944806","1217226673","258910851771","201173933"
"456440","DB금융스팩11호","KOSDAQ","SPAC(소속부없음)","2330","-5","-0.21","2355","2355","2330","298","694510","12383950000","5315000"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2145","15","0.70","2125","2155","2120","24053","51403115","12526800000","5840000"
"016610","DB금융투자","KOSPI",,"4570","35","0.77","4535","4600","4535","27211","124539050","193979997730","42446389"
"005830","DB손해보험","KOSPI",,"105000","-300","-0.28","106200","106300","103100","43611","4556511800","7434000000000","70800000"
"000990","DB하이텍","KOSPI",,"55300","2700","5.13","52500","55500","52300","1075835","58577807000","2455241916400","44398588"
"139130","DGB금융지주","KOSPI",,"7920","30","0.38","7900","7930","7860","148669","1173511660","1339634997360","169145833"
"060900","DGP","KOSDAQ","중견기업부","1165","11","0.95","1154","1171","1154","15806","18479993","29425836785","25258229"
"290120","DH오토리드","KOSDAQ","우량기업부","3015","25","0.84","2960","3030","2960","11093","33301950","46778141070","15515138"
